接收时间	指令	位置	频道	响应摘要	虚拟时间
11:42:33	测量	(714.18, 714.18)	6	未检测到信号	619.604 s
11:42:33	测量	(714.18, 714.18)	8	未检测到信号	625.604 s
11:42:33	测量	(714.18, 714.18)	9	未检测到信号	631.604 s
11:42:33	测量	(714.18, 714.18)	10	未检测到信号	637.604 s
11:42:33	测量	(714.18, 714.18)	11	未检测到信号	643.604 s
11:42:33	测量	(714.18, 714.18)	12	未检测到信号	649.604 s
11:42:33	测量	(714.18, 714.18)	13	未检测到信号	655.604 s
11:42:33	测量	(714.18, 714.18)	14	未检测到信号	661.604 s
11:42:33	测量	(714.18, 714.18)	16	未检测到信号	667.604 s
11:42:33	测量	(714.18, 714.18)	17	未检测到信号	673.604 s
11:42:33	测量	(714.18, 714.18)	18	示向度 33.75°	679.604 s
11:42:33	测量	(714.18, 714.18)	19	示向度 350.29°	685.604 s
11:42:33	测量	(714.18, 714.18)	20	未检测到信号	691.604 s
11:42:33	测量	(0.00, 1010.00)	1	未检测到信号	852.208 s
11:42:33	测量	(0.00, 1010.00)	2	未检测到信号	858.208 s
11:42:33	测量	(0.00, 1010.00)	3	未检测到信号	864.208 s
11:42:33	测量	(0.00, 1010.00)	4	未检测到信号	870.208 s
11:42:33	测量	(0.00, 1010.00)	5	未检测到信号	876.208 s
11:42:33	测量	(0.00, 1010.00)	6	未检测到信号	882.208 s
11:42:33	测量	(0.00, 1010.00)	8	未检测到信号	888.208 s
11:42:33	测量	(0.00, 1010.00)	9	未检测到信号	894.208 s
11:42:33	测量	(0.00, 1010.00)	10	示向度 131.10°	900.208 s
11:42:33	测量	(0.00, 1010.00)	11	未检测到信号	906.208 s
11:42:33	测量	(0.00, 1010.00)	12	示向度 171.73°	912.208 s
11:42:33	测量	(0.00, 1010.00)	13	未检测到信号	918.208 s
11:42:33	测量	(0.00, 1010.00)	14	未检测到信号	924.208 s
11:42:33	测量	(0.00, 1010.00)	17	未检测到信号	930.208 s
11:42:33	测量	(0.00, 1010.00)	20	未检测到信号	936.208 s
11:42:33	测量	(-714.18, 714.18)	1	未检测到信号	1096.812 s
11:42:33	测量	(-714.18, 714.18)	2	未检测到信号	1102.812 s
11:42:33	测量	(-714.18, 714.18)	3	未检测到信号	1108.812 s
11:42:33	测量	(-714.18, 714.18)	4	未检测到信号	1114.812 s
11:42:33	测量	(-714.18, 714.18)	5	未检测到信号	1120.812 s
11:42:33	测量	(-714.18, 714.18)	6	未检测到信号	1126.812 s
11:42:33	测量	(-714.18, 714.18)	8	未检测到信号	1132.812 s
11:42:33	测量	(-714.18, 714.18)	9	未检测到信号	1138.812 s
11:42:33	测量	(-714.18, 714.18)	10	示向度 73.48°	1144.812 s
11:42:33	测量	(-714.18, 714.18)	11	未检测到信号	1150.812 s
11:42:33	测量	(-714.18, 714.18)	12	示向度 80.36°	1156.812 s
11:42:33	测量	(-714.18, 714.18)	13	未检测到信号	1162.812 s
11:42:33	测量	(-714.18, 714.18)	14	未检测到信号	1168.812 s
11:42:33	测量	(-714.18, 714.18)	17	未检测到信号	1174.812 s
11:42:33	测量	(-714.18, 714.18)	20	未检测到信号	1180.812 s
11:42:34	测量	(-1010.00, 0.00)	1	未检测到信号	1341.416 s
11:42:34	测量	(-1010.00, 0.00)	2	未检测到信号	1347.416 s
11:42:34	测量	(-1010.00, 0.00)	3	未检测到信号	1353.416 s
11:42:34	测量	(-1010.00, 0.00)	4	未检测到信号	1359.416 s
11:42:34	测量	(-1010.00, 0.00)	5	未检测到信号	1365.416 s
11:42:34	测量	(-1010.00, 0.00)	6	未检测到信号	1371.416 s
11:42:34	测量	(-1010.00, 0.00)	7	示向度 291.75°	1377.416 s
11:42:34	测量	(-1010.00, 0.00)	8	未检测到信号	1383.416 s
11:42:34	测量	(-1010.00, 0.00)	9	未检测到信号	1389.416 s
11:42:34	测量	(-1010.00, 0.00)	11	未检测到信号	1395.416 s
11:42:34	测量	(-1010.00, 0.00)	13	未检测到信号	1401.416 s
11:42:34	测量	(-1010.00, 0.00)	14	未检测到信号	1407.416 s
11:42:34	测量	(-1010.00, 0.00)	15	示向度 326.35°	1413.416 s
11:42:34	测量	(-1010.00, 0.00)	17	未检测到信号	1419.416 s
11:42:34	测量	(-1010.00, 0.00)	20	未检测到信号	1425.416 s
11:42:34	测量	(-714.18, -714.18)	1	未检测到信号	1586.021 s
11:42:34	测量	(-714.18, -714.18)	2	未检测到信号	1592.021 s
11:42:34	测量	(-714.18, -714.18)	3	未检测到信号	1598.021 s
11:42:34	测量	(-714.18, -714.18)	4	未检测到信号	1604.021 s
11:42:34	测量	(-714.18, -714.18)	5	未检测到信号	1610.021 s
11:42:34	测量	(-714.18, -714.18)	6	未检测到信号	1616.021 s
11:42:34	测量	(-714.18, -714.18)	7	示向度 121.25°	1622.021 s
11:42:34	测量	(-714.18, -714.18)	8	未检测到信号	1628.021 s
11:42:34	测量	(-714.18, -714.18)	9	未检测到信号	1634.021 s
11:42:34	测量	(-714.18, -714.18)	11	示向度 287.58°	1640.021 s
11:42:34	测量	(-714.18, -714.18)	13	示向度 290.79°	1646.021 s
11:42:34	测量	(-714.18, -714.18)	14	未检测到信号	1652.021 s
11:42:34	测量	(-714.18, -714.18)	15	示向度 22.62°	1658.021 s
11:42:34	测量	(-714.18, -714.18)	17	未检测到信号	1664.021 s
11:42:34	测量	(-714.18, -714.18)	20	未检测到信号	1670.021 s
11:42:34	测量	(-0.00, -1010.00)	1	示向度 273.43°	1830.625 s
11:42:34	测量	(-0.00, -1010.00)	2	未检测到信号	1836.625 s
11:42:34	测量	(-0.00, -1010.00)	3	未检测到信号	1842.625 s
11:42:34	测量	(-0.00, -1010.00)	4	未检测到信号	1848.625 s
11:42:34	测量	(-0.00, -1010.00)	5	未检测到信号	1854.625 s
11:42:34	测量	(-0.00, -1010.00)	6	未检测到信号	1860.625 s
11:42:34	测量	(-0.00, -1010.00)	7	示向度 154.85°	1866.625 s
11:42:34	测量	(-0.00, -1010.00)	8	未检测到信号	1872.625 s
11:42:34	测量	(-0.00, -1010.00)	9	未检测到信号	1878.625 s
11:42:34	测量	(-0.00, -1010.00)	11	示向度 211.18°	1884.625 s
11:42:34	测量	(-0.00, -1010.00)	13	示向度 240.87°	1890.625 s
11:42:34	测量	(-0.00, -1010.00)	14	未检测到信号	1896.625 s
11:42:34	测量	(-0.00, -1010.00)	15	示向度 116.36°	1902.625 s
11:42:34	测量	(-0.00, -1010.00)	17	未检测到信号	1908.625 s
11:42:34	测量	(-0.00, -1010.00)	20	未检测到信号	1914.625 s
11:42:34	测量	(714.18, -714.18)	1	未检测到信号	2075.229 s
11:42:34	测量	(714.18, -714.18)	2	未检测到信号	2081.229 s
11:42:34	测量	(714.18, -714.18)	3	未检测到信号	2087.229 s
11:42:34	测量	(714.18, -714.18)	4	未检测到信号	2093.229 s
11:42:34	测量	(714.18, -714.18)	5	未检测到信号	2099.229 s
11:42:34	测量	(714.18, -714.18)	6	未检测到信号	2105.229 s
11:42:34	测量	(714.18, -714.18)	8	未检测到信号	2111.229 s
11:42:34	测量	(714.18, -714.18)	9	未检测到信号	2117.229 s
11:42:34	测量	(714.18, -714.18)	14	未检测到信号	2123.229 s
11:42:34	测量	(714.18, -714.18)	16	示向度 357.13°	2129.229 s
11:42:34	测量	(714.18, -714.18)	17	未检测到信号	2135.229 s
11:42:34	测量	(714.18, -714.18)	20	未检测到信号	2141.229 s
11:42:34	测量	(-0.00, -1080.00)	1	示向度 273.74°	2307.712 s
11:42:34	测量	(-0.00, -1080.00)	1	示向度 273.74°	2312.712 s
11:42:34	测量	(13.24, -1281.03)	1	示向度 272.92°	2358.005 s
11:42:34	测量	(31.19, -2017.23)	1	示向度 88.38°	2510.288 s
11:42:34	测量	(36.80, -1784.66)	1	示向度 81.88°	2561.814 s
11:42:34	测量	(41.14, -1753.79)	1	示向度 261.13°	2573.049 s
11:42:34	清除	(38.97, -1769.23)	1	清除成功	2581.166 s
11:42:34	测量	(-340.96, -1647.76)	13	示向度 201.45°	2666.941 s
11:42:34	清除	(-357.19, -1654.47)	13	清除成功	2675.454 s
11:42:34	清除	(-520.76, -1325.42)	11	清除成功	2753.945 s
11:42:34	清除	(-738.71, -672.12)	7	清除成功	2896.685 s
11:42:34	清除	(-242.30, -517.28)	15	清除成功	3005.683 s
11:42:34	测量	(1270.63, -732.35)	16	示向度 310.67°	3317.312 s
11:42:34	清除	(1279.85, -742.71)	16	清除成功	3325.086 s
11:42:34	测量	(1533.18, 559.28)	19	示向度 27.71°	3596.367 s
11:42:34	清除	(1562.12, 574.46)	19	清除成功	3607.903 s
11:42:34	测量	(1056.01, 934.05)	18	示向度 193.90°	3738.073 s
11:42:34	清除	(1039.63, 929.69)	18	清除成功	3746.463 s
11:42:34	测量	(-460.06, 1519.16)	10	示向度 117.36°	4074.738 s
11:42:34	清除	(-473.32, 1544.81)	10	范围内无目标	4083.513 s
11:42:34	清除	(-647.87, 1104.12)	12	清除成功	4183.312 s
11:42:34	测量	(-460.06, 1519.16)	10	示向度 117.36°	4279.422 s
11:42:34	清除	(-473.32, 1544.81)	10	范围内无目标	4288.197 s
11:42:34	测量	(-807.50, 1398.63)	2	未检测到信号	4367.147 s
11:42:34	测量	(-807.50, 1398.63)	3	未检测到信号	4373.147 s
11:42:34	测量	(-807.50, 1398.63)	4	未检测到信号	4379.147 s
11:42:34	测量	(-807.50, 1398.63)	5	未检测到信号	4385.147 s
11:42:34	测量	(-807.50, 1398.63)	6	未检测到信号	4391.147 s
11:42:34	测量	(-807.50, 1398.63)	8	未检测到信号	4397.147 s
11:42:34	测量	(-807.50, 1398.63)	9	未检测到信号	4403.147 s
11:42:34	测量	(-807.50, 1398.63)	10	示向度 20.20°	4409.147 s
11:42:34	测量	(-807.50, 1398.63)	14	未检测到信号	4415.147 s
11:42:34	测量	(-807.50, 1398.63)	17	未检测到信号	4421.147 s
11:42:34	测量	(-807.50, 1398.63)	20	未检测到信号	4427.147 s
11:42:34	测量	(223.20, 1695.37)	10	示向度 194.21°	4647.660 s
11:42:35	清除	(-460.69, 1528.48)	10	清除成功	4793.451 s
11:42:35	退出	--	--	正常退出	4793.451 s
